IsGrandTotalRowTotal,CountSYS_RECID,SumLOSDAYS,Hospital,PAYER (groups),Observation,Surgical,NICU,YEAR
False,1,2,"ADVENTHEALTH ORLANDO","Kidcare","No Observation","Non-Surgical","NICU Level I",2022
False,1,2,"ST MARY'S MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","NICU Level I",2022
False,1,2,"ADVENTHEALTH ORLANDO","Other Federal","No Observation","Non-Surgical","NICU Level II",2022
False,1,2,"ST JOSEPHS HOSPITAL","Other Federal","No Observation","Non-Surgical","NICU Level I",2022
False,1,2,"JACKSON MEMORIAL HOSPITAL","Medicare","No Observation","Non-Surgical","NICU Level I",2019
False,1,2,"UF HEALTH SHANDS HOSPITAL","Other State/Local","No Observation","Non-Surgical","NICU Level III",2019
False,1,2,"TAMPA GENERAL HOSPITAL","Other State/Local","No Observation","Non-Surgical","NICU Level III",2019
False,1,2,"UF HEALTH SHANDS HOSPITAL","Kidcare","No Observation","Non-Surgical","NICU Level II",2019
False,1,2,"JACKSON MEMORIAL HOSPITAL","Kidcare","No Observation","Non-Surgical","ICU <1 Year Old",2019
False,1,2,"ADVENTHEALTH ORLANDO","Other State/Local","No Observation","Non-Surgical","ICU <1 Year Old",2019
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Other","No Observation","Non-Surgical","NICU Level II",2020
False,1,2,"ST MARY'S MEDICAL CENTER","Other","No Observation","Non-Surgical","NICU Level I",2020
False,1,2,"JACKSON MEMORIAL HOSPITAL","Other Federal","No Observation","Non-Surgical","NICU Level I",2020
False,1,2,"MEMORIAL REGIONAL HOSPITAL","Medicare","No Observation","Non-Surgical","ICU <1 Year Old",2020
False,1,2,"CAPE CORAL HOSPITAL","Other State/Local","No Observation","Non-Surgical","NICU Level II",2019
False,1,2,"UF HEALTH SHANDS HOSPITAL","Other Federal","No Observation","Non-Surgical","NICU Level II",2019
False,1,2,"ST JOSEPHS HOSPITAL","Other Federal","No Observation","Non-Surgical","NICU Level I",2019
False,1,2,"UF HEALTH SHANDS HOSPITAL","Other State/Local","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Medicare","No Observation","Non-Surgical","NICU Level I",2018
False,1,2,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","No Observation","Non-Surgical","NICU Level III",2018
False,1,2,"UF HEALTH SHANDS HOSPITAL","Other State/Local","No Observation","Non-Surgical","ICU <1 Year Old",2022
False,1,2,"TAMPA GENERAL HOSPITAL","Kidcare","No Observation","Non-Surgical","Non-NICU",2022
False,1,2,"ST JOSEPHS HOSPITAL","Self/Non-Payment","No Observation","Non-Surgical","NICU Level III",2022
False,1,2,"ADVENTHEALTH ORLANDO","Kidcare","No Observation","Non-Surgical","NICU Level II",2017
