Hospital,MDC,MSDRG,YEAR,IsGrandTotalRowTotal,CountSYS_RECID
"ST MARY'S MEDICAL CENTER","MDC 08","557",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","544",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","556",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","553",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","566",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","553",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","541",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","554",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","557",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","564",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","543",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","561",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","555",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","536",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","555",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","553",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","557",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","535",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","562",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","535",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","554",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","538",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","554",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","562",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","560",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","566",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","541",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","545",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","552",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","555",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","544",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","562",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","542",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","539",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","562",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","565",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","544",2021,False,1
