NAME (groups),NAME,FACLNBR,PAYER (groups),Observation,Surgical,NICU,Stays,Days,YEAR
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,ICU <1 Year Old,40,158,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,ICU <1 Year Old,29,160,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,ICU <1 Year Old,35,98,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,ICU <1 Year Old,39,116,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,ICU <1 Year Old,39,185,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,ICU <1 Year Old,47,270,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level I,447,1134,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level I,415,968,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level I,416,865,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level I,341,698,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level I,355,752,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level I,485,952,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level II,48,345,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level II,23,106,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level II,55,188,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level II,54,357,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level II,84,627,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level II,90,495,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level III,146,1046,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level III,61,298,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level III,47,196,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level III,146,1431,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level III,195,2040,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,NICU Level III,248,3096,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,Non-NICU,1618,3121,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,Non-NICU,799,1988,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,Non-NICU,612,1545,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,Non-NICU,765,1959,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,Non-NICU,822,2155,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Non-Surgical,Non-NICU,1204,3438,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,ICU <1 Year Old,13,63,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,ICU <1 Year Old,29,136,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,ICU <1 Year Old,12,57,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,ICU <1 Year Old,24,138,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,ICU <1 Year Old,31,270,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,ICU <1 Year Old,23,188,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,NICU Level II,1,8,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,NICU Level II,1,3,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,NICU Level III,2,5,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,NICU Level III,1,1,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,NICU Level III,1,16,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,NICU Level III,2,8,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,Non-NICU,416,1169,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,Non-NICU,243,913,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,Non-NICU,159,626,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,Non-NICU,181,771,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,Non-NICU,194,748,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,No Observation,Surgical,Non-NICU,233,1128,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,ICU <1 Year Old,36,488,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,ICU <1 Year Old,39,344,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,ICU <1 Year Old,28,256,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,ICU <1 Year Old,24,372,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,ICU <1 Year Old,8,150,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,ICU <1 Year Old,8,203,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level I,66,206,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level I,113,354,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level I,101,350,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level I,48,117,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level I,1,2,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level I,1,46,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level II,25,486,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level II,31,420,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level II,47,573,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level II,36,744,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level II,4,63,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level II,7,124,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level III,231,7461,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level III,288,9274,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level III,265,8213,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level III,161,5932,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level III,75,4074,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,NICU Level III,85,3778,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,Non-NICU,284,1467,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,Non-NICU,273,1361,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,Non-NICU,350,1643,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,Non-NICU,201,856,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,Non-NICU,144,517,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Non-Surgical,Non-NICU,160,974,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,ICU <1 Year Old,17,398,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,ICU <1 Year Old,22,488,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,ICU <1 Year Old,23,609,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,ICU <1 Year Old,16,733,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,ICU <1 Year Old,9,151,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,ICU <1 Year Old,5,335,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,NICU Level III,4,678,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,NICU Level III,6,1021,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,NICU Level III,6,892,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,NICU Level III,2,200,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,NICU Level III,6,551,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,NICU Level III,4,109,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,Non-NICU,121,1096,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,Non-NICU,124,1083,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,Non-NICU,108,874,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,Non-NICU,59,709,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,Non-NICU,73,915,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Health Insurance,Observation,Surgical,Non-NICU,73,1192,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Non-Surgical,NICU Level I,1,2,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Non-Surgical,Non-NICU,11,18,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Non-Surgical,Non-NICU,2,2,2017
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Non-Surgical,Non-NICU,1,2,2018
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Non-Surgical,Non-NICU,5,14,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Non-Surgical,Non-NICU,1,5,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Non-Surgical,Non-NICU,2,4,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Surgical,Non-NICU,7,10,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Surgical,Non-NICU,1,1,2019
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Surgical,Non-NICU,1,1,2020
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,No Observation,Surgical,Non-NICU,3,11,2021
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,Observation,Non-Surgical,Non-NICU,1,1,2016
FACH,ADVENTHEALTH ORLANDO,100007,Commercial Liability Coverage,Observation,Surgical,Non-NICU,2,3,2020
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,ICU <1 Year Old,7,43,2017
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,ICU <1 Year Old,4,30,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,ICU <1 Year Old,4,13,2020
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,ICU <1 Year Old,8,40,2021
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,NICU Level I,1,2,2017
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,NICU Level I,5,10,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,NICU Level I,2,6,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,NICU Level II,1,2,2017
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,NICU Level II,1,4,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,NICU Level III,1,4,2016
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,NICU Level III,1,5,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,NICU Level III,1,7,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,NICU Level III,1,14,2020
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,Non-NICU,57,140,2016
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,Non-NICU,157,493,2017
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,Non-NICU,132,455,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,Non-NICU,135,478,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,Non-NICU,196,930,2020
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Non-Surgical,Non-NICU,293,1151,2021
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,ICU <1 Year Old,1,1,2017
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,ICU <1 Year Old,1,2,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,ICU <1 Year Old,2,7,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,ICU <1 Year Old,1,8,2020
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,ICU <1 Year Old,3,46,2021
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,Non-NICU,21,58,2016
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,Non-NICU,36,156,2017
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,Non-NICU,40,174,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,Non-NICU,32,87,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,Non-NICU,43,220,2020
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,No Observation,Surgical,Non-NICU,38,311,2021
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,ICU <1 Year Old,1,5,2017
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,ICU <1 Year Old,2,12,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,ICU <1 Year Old,1,5,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,ICU <1 Year Old,1,15,2020
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,ICU <1 Year Old,1,51,2021
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,NICU Level I,3,7,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,NICU Level I,1,5,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,NICU Level II,1,18,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,NICU Level III,1,7,2016
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,NICU Level III,3,254,2017
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,NICU Level III,1,23,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,NICU Level III,1,67,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,Non-NICU,12,58,2016
